,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Class
1114,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.3001233190213346,0.570003654986523,0.9186425731584258,0.07315023050711565,0.3844,0.5736,0.0,0.9749039678111157,0.993182525270442,0.8714346349745332,0.18900472511812796,0.0,1.0,0
1009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05460424264766701,0.46854076549865226,0.37736050454086784,0.13209155141310885,0.5806,0.4503,0.0,0.9076561738354625,0.7635762479872683,0.7778013582342954,0.1188005866695638,0.16673536141880277,1.0,0
993,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06050470110226838,0.4439128625336927,0.3716564783047427,0.12618741230707556,0.6693,0.5,0.0,0.8974513954604962,0.7520666584453191,0.7666383701188455,0.1157042750828399,0.1650823815426681,1.0,0
254,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5654139871382636,0.3063222641509434,1.0,0.0068102153229844765,0.932325487012987,0.9299075241698193,0.5,0.3909207551322583,0.3578899733679369,0.26911968441073564,0.4998234730418117,0.48307448408914117,0.2948860989170104,1
820,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06140477103602114,0.5341812506738545,0.9941959031281533,0.12228467628783322,0.2164,0.3878,0.0,0.9850413714725512,0.7520666584453191,0.9477928692699492,0.4536368080830029,0.46249758399910096,1.0,0
312,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.5735655417789758,0.19673288292830493,0.007411116675012519,0.921976461038961,1.0,1.0,0.4615435635378288,0.3339236930835779,0.41580764082936106,0.9015988298784485,0.3467080647269983,0.9340139677643232,1
490,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2984231869242461,0.46090815094339627,0.22345467379247755,0.013608488675085188,0.24228896103896103,0.9650063051702396,1.0,0.5592121290259741,0.41938241474870175,0.45542066827905225,0.8882332173299037,0.3484355081913473,0.9998947591192413,1
221,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6195739549839229,0.17809433962264148,0.7983261066854896,0.004406609914872308,0.8308644480519481,1.0,0.0,0.3275141465099913,0.3055510563343817,0.21206001831544838,0.3989509255056236,0.43028584410506276,0.14249730357847767,1
235,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.10118569131832797,0.44452347169811324,0.6302309166078451,0.02163244867300951,0.5523538961038961,0.9827658680117697,1.0,0.5851984440350999,0.5132588187988262,0.4175217789466269,0.6847732889494124,0.3599687336739131,1.0,1
451,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1085084309024152,0.27630064690026956,0.7627306645154786,0.008805121266786932,0.7612621753246753,1.0,1.0,0.4049333757641023,0.3530413153896068,0.2889379388076173,0.6185000252181369,0.29041373065350556,0.33466715184378204,1
